raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,22,35,9,1:27.921,87921.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.921000
84,22,36,9,1:27.360,87360.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.360000
84,22,37,9,1:27.209,87209.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.209000
84,22,38,9,1:27.244,87244.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.244000
84,22,39,9,1:27.024,87024.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.024000
84,22,40,9,1:27.321,87321.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.321000
84,22,41,9,1:28.541,88541.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.541000
84,22,42,9,1:26.699,86699.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:26.699000
84,22,43,9,1:26.710,86710.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:26.710000
84,22,44,9,1:26.799,86799.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:26.799000
84,22,45,8,1:26.635,86635.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:26.635000
84,22,46,7,1:27.679,87679.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.679000
84,22,47,10,1:45.950,105950.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:45.950000
84,22,48,10,1:27.839,87839.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.839000
84,22,49,10,1:27.905,87905.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.905000
84,22,50,10,1:27.841,87841.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.841000
84,22,51,10,1:28.019,88019.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.019000
84,22,52,10,1:27.958,87958.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.958000
84,22,53,10,1:28.561,88561.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:28.561000
84,22,54,10,1:27.839,87839.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.839000
84,22,55,10,1:27.448,87448.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.448000
84,22,56,10,1:27.186,87186.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.186000
84,22,57,10,1:27.592,87592.0,Ferrari,6,2005,Turkish GP 2005,barrichello,0 days 00:01:27.592000
84,18,1,12,1:41.363,101363.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:41.363000
84,18,2,12,1:30.844,90844.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:30.844000
